device_id,health_indicator,firmware_status,maintenance_group,support_team,diagnostic_flag,health_score,battery_voltage,error_count,restart_count,maintenance_cost
DEV100000,good,outdated,C,Team2,FAIL,37.60750839,4.946871739,17,0,941.6928753
DEV100001,warning,outdated,A,,OK,11.76792273,3.932578733,16,2,799.0495495
DEV100002,good,updated,C,Team3,FAIL,21.08293673,3.900091017,0,6,686.4378228
DEV100003,good,pending,B,Team3,CHECK,67.20345301,4.906337475,3,1,339.0388904
DEV100004,warning,pending,B,Team3,CHECK,60.28270494,3.483264743,18,1,445.1757279
DEV100005,good,updated,B,Team1,CHECK,33.9844752,4.350488371,13,5,930.1831659
DEV100006,good,outdated,B,Team1,CHECK,79.3829276,4.487504657,19,3,181.9567196
DEV100007,good,pending,A,,OK,90.84270295,3.115574218,0,7,318.9716763
DEV100008,critical,outdated,A,Team2,FAIL,21.0820455,3.597096778,2,7,385.1338245
DEV100009,warning,updated,A,Team2,OK,55.03295094,4.963327012,18,6,147.4534549
DEV100010,critical,updated,C,Team3,FAIL,43.37579519,3.024132874,18,0,714.1901619
DEV100011,warning,pending,A,Team2,CHECK,8.38365442,4.07171569,15,4,987.1112472
DEV100012,good,updated,A,Team1,FAIL,30.57685544,3.294272581,18,7,871.4046199
DEV100013,critical,updated,A,Team3,CHECK,38.73755324,3.822519319,0,1,314.4190483
DEV100014,critical,pending,C,Team3,CHECK,41.01428239,3.90795451,16,5,410.6720586
DEV100015,good,pending,C,Team2,FAIL,13.16882264,4.280123017,0,1,709.6435523
DEV100016,warning,pending,C,Team1,OK,47.59733649,3.925664755,11,1,931.0136193
DEV100017,warning,pending,C,Team2,FAIL,39.18653642,4.997852789,16,0,157.8947738
DEV100018,critical,updated,B,Team2,CHECK,4.234614775,3.904413635,10,3,284.1909286
DEV100019,good,outdated,A,Team3,OK,76.12266853,3.792100428,14,7,804.4495351
DEV100020,critical,updated,C,Team2,OK,32.27235783,4.766687131,5,5,644.2799878
DEV100021,good,pending,A,Team3,CHECK,43.90678439,4.105223424,13,6,944.4277163
DEV100022,critical,outdated,B,Team3,FAIL,23.19770081,4.728955136,6,4,721.1926535
DEV100023,good,outdated,C,Team1,OK,11.53945711,3.052621171,9,9,710.5693822
DEV100024,critical,outdated,A,Team1,FAIL,12.52788782,3.571009583,11,9,561.4209032
DEV100025,warning,pending,B,Team2,FAIL,24.09714806,3.016578677,3,0,925.9465942
DEV100026,good,outdated,C,Team3,FAIL,66.38698214,3.639403179,1,0,689.2877998
DEV100027,warning,pending,A,Team2,CHECK,9.248548136,4.842922797,18,5,947.8478693
DEV100028,critical,updated,B,Team3,FAIL,67.41379363,4.26052707,0,2,528.5752937
DEV100029,critical,pending,A,Team2,OK,87.05521166,3.667609788,6,0,529.9822421
DEV100030,good,pending,C,Team1,FAIL,89.96875733,4.853449454,3,5,274.5002273
DEV100031,warning,outdated,C,Team3,CHECK,81.37157204,4.910420786,15,3,383.8177457
DEV100032,critical,pending,C,Team2,FAIL,83.29669756,4.989650556,17,5,804.3258337
DEV100033,good,outdated,C,Team3,CHECK,68.14902533,3.068258536,3,0,345.5699985
DEV100034,critical,outdated,C,Team2,CHECK,65.29873971,3.41835692,0,9,760.4730856
DEV100035,warning,updated,A,Team2,OK,37.83677529,3.085290614,6,3,548.1855646
DEV100036,critical,outdated,B,Team1,FAIL,89.01858471,3.484872518,12,7,800.5595405
DEV100037,warning,pending,C,Team3,CHECK,7.327264883,3.055002049,19,0,547.0415296
DEV100038,critical,updated,C,Team1,FAIL,61.64356212,4.988823162,16,6,950.1166401
DEV100039,warning,updated,A,,CHECK,62.47684729,3.881440399,13,7,258.7101944
DEV100040,warning,outdated,B,Team3,FAIL,76.52152943,3.622426444,8,6,255.2764653
DEV100041,critical,updated,B,Team1,FAIL,50.84579864,4.881055291,15,0,635.8856413
DEV100042,warning,updated,B,Team3,OK,65.64872844,3.206872882,0,2,188.5413391
DEV100043,good,pending,A,Team1,FAIL,68.80907515,4.306727664,1,0,313.02708
DEV100044,warning,outdated,B,Team3,CHECK,12.89272301,3.444151449,0,7,684.0270288
DEV100045,good,outdated,B,Team1,OK,81.32471938,4.485280499,7,4,178.5698353
DEV100046,good,updated,C,Team2,CHECK,92.74697354,4.948144919,17,9,324.4632424
DEV100047,good,pending,B,Team3,FAIL,48.9759568,3.177323646,6,1,141.1539775
DEV100048,warning,updated,B,Team2,FAIL,8.11892098,3.780864698,16,1,864.4094315
DEV100049,good,outdated,C,Team2,OK,43.65388801,3.063761019,17,5,488.6719379
DEV100050,good,updated,A,Team1,CHECK,5.305729755,4.773563403,16,9,445.2852472
DEV100051,warning,outdated,A,Team3,CHECK,33.64971941,4.794853188,11,2,961.04644
DEV100052,critical,updated,B,Team1,FAIL,49.10554754,4.30916425,1,6,343.2168146
DEV100053,good,outdated,C,Team3,CHECK,4.495435407,4.297323018,6,7,414.9739549
DEV100054,critical,pending,C,Team3,CHECK,15.36728667,4.235219836,12,2,933.8156298
